EmployeeNumber,Attrition,Age,Gender,MaritalStatus,Education,EducationField,Department,JobRole,BusinessTravel,PerformanceIndex,JobInvolvement,JobLevel,PerformanceRating,MonthlyAchievement,MonthlyIncome,Incentive,StockOptionLevel,DistanceFromHome,OverTime,StandardHours,RemoteWork,FlexibleWork,WorkLifeBalance,StressRating,StressSelfReported,ExtendedLeave,WelfareBenefits,TrainingTimesLastYear,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,HowToEmploy,InHouseFacility,ExternalFacility
526,No,43,Female,Divorced,4,Other,Research & Development,Healthcare Representative,Travel_Rarely,74,3,2,3,2227,5022,0,0,8,3,40,2,1,3,2,2,0,3,3,3,3,4,4,8,5,2,0,2,intern,1,0
527,No,25,Female,Single,2,Life Sciences,Sales,Sales Executive,Travel_Rarely,99,2,2,1,12090,6178,0,0,4,0,40,3,1,3,1,2,1,3,3,2,4,2,1,5,5,4,1,3,agent_A,1,1
529,No,37,Female,Married,5,Medical,Research & Development,Research Scientist,Non-Travel,72,3,2,3,23866,8450,0,2,25,24,40,5,1,3,3,3,0,4,2,2,3,1,3,15,13,11,10,7,direct_recruiting,1,1
530,No,31,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,98,2,1,2,16193,8340,2502,1,1,16,40,2,1,3,2,1,1,4,3,4,1,3,1,4,4,2,3,2,intern,1,1
531,No,39,Male,Divorced,1,Life Sciences,Research & Development,Manager,Travel_Frequently,52,3,5,3,8213,6604,1609,1,1,12,40,2,0,3,3,1,0,2,3,2,3,3,1,21,21,8,1,6,intern,0,0
532,No,56,Female,Married,3,Life Sciences,Sales,Sales Executive,Travel_Frequently,86,4,4,1,18256,3863,0,3,6,4,40,2,1,2,3,3,0,3,0,3,1,4,9,36,7,7,7,7,intern,1,0
533,No,30,Female,Single,3,Technical Degree,Sales,Sales Executive,Travel_Rarely,83,3,2,1,19558,9481,0,0,12,22,40,2,1,3,3,1,0,2,6,2,3,2,0,6,5,4,4,4,intern,1,0
534,No,41,Male,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,49,4,3,2,19566,4293,1287,1,1,7,40,0,1,3,3,3,0,3,2,2,1,3,1,10,10,7,0,7,agent_B,1,0
536,No,28,Male,Divorced,2,Medical,Research & Development,Laboratory Technician,Travel_Rarely,79,3,2,2,13535,6046,1813,1,17,30,40,2,1,3,3,4,0,2,2,3,1,4,1,10,10,0,1,8,New_graduate_recruitment,0,0
538,Yes,25,Male,Married,3,Medical,Research & Development,Laboratory Technician,Travel_Rarely,91,3,1,2,9396,9806,0,1,3,8,40,2,1,3,3,2,0,2,5,1,1,3,5,6,2,2,0,2,agent_A,1,0
543,No,52,Male,Married,3,Medical,Research & Development,Manufacturing Director,Travel_Rarely,39,2,3,3,19609,6013,2856,0,3,12,40,2,0,3,2,3,0,1,4,4,3,3,2,28,5,4,0,4,intern,0,0
544,No,45,Male,Married,2,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,69,3,1,4,9655,9090,565,2,10,29,40,5,0,2,4,2,0,1,3,1,4,4,3,8,2,2,0,2,intern,0,0
546,No,52,Female,Married,2,Life Sciences,Research & Development,Manager,Travel_Rarely,30,3,4,2,10310,4102,0,0,4,14,40,3,1,1,2,1,0,2,2,4,4,4,2,31,5,2,1,4,intern,0,0
547,No,42,Female,Divorced,2,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,92,3,2,1,12932,8033,0,1,29,26,40,5,1,3,3,3,1,2,3,1,3,2,2,19,5,4,0,2,direct_recruiting,0,0
548,No,30,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,43,1,2,4,24793,4711,2355,0,2,17,40,4,0,3,2,2,0,1,2,3,4,3,2,11,5,4,0,2,intern,0,0
549,No,60,Female,Married,3,Life Sciences,Research & Development,Manager,Travel_Rarely,41,3,5,1,3854,10008,0,0,7,9,40,0,1,1,2,3,1,4,5,1,1,4,5,33,29,8,11,10,direct_recruiting,1,0
550,No,46,Female,Divorced,3,Medical,Research & Development,Manufacturing Director,Travel_Rarely,87,3,2,3,26314,8111,3852,1,18,14,40,4,0,2,3,2,0,1,5,3,3,3,2,19,10,7,0,8,intern,0,0
551,No,42,Female,Married,4,Technical Degree,Research & Development,Healthcare Representative,Travel_Frequently,88,2,2,1,4386,6164,0,3,28,0,40,5,1,4,3,3,0,3,4,4,4,4,0,7,6,5,0,4,intern,0,0
554,Yes,24,Female,Single,1,Technical Degree,Sales,Sales Representative,Travel_Rarely,62,3,1,3,21972,5435,0,0,1,13,40,1,0,3,4,3,0,1,4,1,2,2,1,6,5,3,1,4,intern,1,0
555,Yes,34,Female,Divorced,2,Marketing,Sales,Sales Representative,Travel_Frequently,33,1,1,3,12253,2835,1134,1,6,20,40,3,0,2,3,2,0,2,3,4,3,4,0,3,2,2,1,0,New_graduate_recruitment,0,0
556,No,38,Male,Married,2,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,42,3,1,4,12106,4627,2313,1,2,2,40,4,0,3,2,2,0,2,3,4,4,3,1,1,1,0,0,0,agent_A,0,0
558,No,40,Female,Married,4,Life Sciences,Sales,Manager,Travel_Rarely,79,3,5,3,13022,9170,3852,0,2,44,40,4,1,3,2,2,1,4,2,3,3,4,0,21,20,15,1,12,intern,1,1
560,No,26,Female,Divorced,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,90,3,1,4,3032,7436,0,2,23,12,40,5,1,1,3,2,0,1,3,1,4,2,1,3,3,2,0,2,intern,0,0
422,Yes,59,Male,Married,4,Life Sciences,Research & Development,Healthcare Representative,Non-Travel,53,3,2,3,16734,6622,3145,1,1,42,40,4,1,1,2,2,1,4,3,3,4,3,2,13,6,4,2,3,agent_C,1,1
564,No,29,Male,Married,4,Medical,Research & Development,Research Director,Travel_Rarely,93,2,3,3,21526,6115,2904,0,3,41,40,3,0,3,3,1,0,2,2,2,3,3,1,10,10,2,0,7,agent_A,0,0
565,Yes,29,Female,Married,5,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,71,2,1,3,18300,7126,0,0,25,8,40,0,0,4,4,2,0,1,2,3,2,2,5,6,2,2,1,1,intern,0,0
566,Yes,19,Male,Single,2,Technical Degree,Human Resources,Human Resources,Travel_Rarely,52,2,1,2,18437,7434,0,0,2,4,40,3,1,4,2,1,0,3,3,1,4,3,1,1,1,0,0,0,intern,1,1
567,No,30,Female,Married,4,Other,Sales,Sales Executive,Non-Travel,69,3,3,1,2890,4485,0,0,22,22,40,3,1,3,4,4,0,2,3,3,1,3,0,10,9,8,7,8,intern,0,0
568,No,57,Male,Divorced,3,Marketing,Sales,Manager,Travel_Rarely,56,2,4,2,22102,5171,1551,1,29,8,40,5,0,2,3,2,0,1,3,1,4,3,3,32,1,0,0,0,direct_recruiting,0,0
569,No,50,Male,Married,4,Life Sciences,Research & Development,Manager,Travel_Rarely,88,2,4,3,9314,7070,2244,1,29,11,40,5,1,3,3,3,0,4,2,2,3,2,0,28,27,10,15,7,intern,1,1
571,No,30,Female,Single,3,Medical,Research & Development,Laboratory Technician,Non-Travel,49,3,1,2,7181,5449,1634,0,2,10,40,4,1,2,2,1,0,3,2,3,4,3,0,12,11,7,6,7,agent_C,1,1
573,No,60,Female,Married,3,Marketing,Sales,Sales Executive,Travel_Frequently,80,2,3,4,2845,7724,0,0,28,10,40,4,1,4,3,3,0,4,5,3,1,4,4,22,18,13,13,11,intern,1,0
574,No,47,Female,Divorced,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,65,3,2,1,7389,2856,0,3,2,12,40,2,0,3,2,1,0,1,2,1,4,3,5,20,5,0,0,4,agent_C,0,0
575,No,46,Male,Married,3,Life Sciences,Research & Development,Research Director,Travel_Rarely,51,3,4,2,2288,5309,0,0,2,6,40,3,0,1,2,2,0,2,2,1,3,3,6,26,3,2,0,1,direct_recruiting,1,0
577,No,35,Male,Single,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,46,1,1,3,19225,5692,2703,0,22,0,40,4,1,3,1,1,1,4,2,4,3,3,0,6,5,4,4,3,agent_B,1,1
578,No,54,Female,Single,4,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,42,3,2,1,23428,8329,0,0,8,0,40,3,0,3,5,1,1,2,3,3,3,3,7,19,1,0,0,0,New_graduate_recruitment,1,0
579,No,34,Male,Divorced,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,62,2,1,2,8416,9153,0,1,2,15,40,2,1,3,2,1,0,3,3,4,3,3,3,14,7,3,5,7,agent_C,1,0
580,No,46,Female,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,94,2,3,4,11563,5909,2954,1,10,0,40,3,1,3,2,3,1,3,3,3,4,3,2,15,3,2,1,2,intern,1,0
581,No,31,Male,Divorced,1,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,33,3,3,4,14394,6660,0,1,9,4,40,3,0,4,3,3,0,1,6,3,2,4,1,13,13,8,0,8,agent_A,0,0
582,Yes,33,Male,Married,1,Medical,Research & Development,Manager,Travel_Rarely,56,3,3,2,24619,6233,0,0,15,4,40,4,1,4,2,2,0,3,2,2,3,4,7,15,7,6,7,7,intern,1,0
584,Yes,33,Male,Divorced,1,Medical,Research & Development,Laboratory Technician,Travel_Rarely,38,1,1,1,6705,3827,0,3,10,13,40,3,1,3,2,2,0,3,2,1,4,1,7,8,4,3,1,3,agent_C,1,0
585,No,30,Male,Single,1,Marketing,Sales,Sales Representative,Travel_Rarely,57,3,1,2,18398,7514,0,0,7,30,40,3,0,3,3,1,0,1,3,4,2,1,0,4,3,2,1,2,agent_B,0,0
586,No,35,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,72,3,3,2,14295,6592,1977,0,16,23,40,3,1,3,2,2,1,4,2,4,3,3,4,10,8,7,0,0,intern,1,1
587,Yes,31,Male,Married,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,66,3,3,2,22908,6099,1219,0,20,5,40,3,0,3,5,1,0,1,2,1,3,1,3,12,1,0,0,0,intern,0,0
590,Yes,34,Female,Divorced,3,Human Resources,Human Resources,Human Resources,Travel_Frequently,43,3,3,3,11533,3269,0,3,23,0,40,2,0,3,3,4,0,1,2,2,1,3,9,11,3,2,0,2,intern,0,0
591,No,42,Male,Married,2,Other,Research & Development,Laboratory Technician,Travel_Frequently,97,3,1,3,9260,7394,0,1,5,6,40,2,0,3,3,2,0,2,4,2,3,4,4,8,2,2,2,0,New_graduate_recruitment,0,0
592,No,36,Male,Single,4,Medical,Sales,Sales Executive,Non-Travel,32,3,3,2,15318,7530,0,0,10,19,40,4,0,2,3,3,0,2,3,2,4,4,1,10,10,3,9,7,agent_C,1,1
593,Yes,22,Male,Single,1,Technical Degree,Research & Development,Laboratory Technician,Travel_Frequently,99,2,1,3,9129,6454,0,0,4,27,40,3,1,3,1,1,1,4,3,3,3,3,5,4,2,2,1,2,agent_A,1,1
595,No,48,Female,Married,5,Marketing,Sales,Sales Executive,Travel_Rarely,37,3,2,3,19658,6546,3109,1,2,1,40,2,1,3,3,2,0,3,2,2,4,1,2,14,9,7,6,7,intern,0,0
597,No,55,Female,Single,5,Life Sciences,Sales,Manager,Travel_Rarely,83,3,4,4,9873,12391,0,0,18,20,40,4,0,3,3,3,0,1,2,1,2,4,3,37,10,9,7,7,agent_A,0,0
599,No,41,Male,Single,2,Life Sciences,Sales,Sales Executive,Non-Travel,56,3,2,3,13430,6134,2913,0,10,20,40,4,1,3,3,2,0,4,3,4,4,4,7,16,14,3,1,10,intern,1,1
600,No,35,Male,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,85,3,2,1,18659,7781,0,0,1,3,40,2,1,3,2,2,1,4,2,2,3,3,9,15,11,9,6,9,agent_B,1,1
601,No,40,Female,Single,3,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,75,3,4,3,20364,8251,3919,0,6,32,40,3,1,3,1,1,1,4,3,2,3,3,7,22,20,6,5,13,intern,1,1
1150,No,30,Male,Married,1,Medical,Research & Development,Manufacturing Director,Travel_Frequently,48,3,2,1,17872,5320,0,1,8,13,40,1,0,3,3,3,0,3,3,3,3,1,1,11,11,8,2,3,agent_B,0,0
604,No,31,Male,Single,1,Life Sciences,Sales,Sales Executive,Travel_Rarely,77,3,2,2,8346,8089,257,0,2,6,40,3,0,4,3,3,0,2,2,2,4,3,4,10,6,5,0,5,intern,0,0
605,No,42,Male,Married,3,Medical,Research & Development,Manufacturing Director,Travel_Rarely,56,3,3,4,6950,7186,0,1,24,10,40,4,0,2,3,3,0,1,5,4,1,4,1,10,10,9,5,8,direct_recruiting,0,0
606,No,45,Male,Married,3,Other,Sales,Sales Executive,Travel_Rarely,61,3,2,4,16177,8694,0,1,2,35,40,2,1,4,2,2,1,4,3,4,2,2,0,9,8,7,3,7,intern,1,0
608,Yes,26,Female,Divorced,4,Life Sciences,Human Resources,Human Resources,Travel_Frequently,58,3,1,1,22808,8479,0,1,17,5,40,2,0,2,3,2,0,2,2,2,3,2,0,8,7,7,1,0,agent_A,0,0
611,No,29,Male,Divorced,3,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,34,3,2,2,22645,3310,993,2,19,38,40,5,0,4,2,1,0,1,2,4,4,2,4,8,3,2,1,2,intern,0,0
612,No,33,Female,Divorced,5,Medical,Research & Development,Research Director,Travel_Rarely,95,4,4,4,22578,7508,3754,1,1,35,40,3,0,3,2,2,0,1,2,1,3,3,4,10,6,1,0,5,intern,0,0
613,No,31,Male,Divorced,3,Life Sciences,Sales,Manager,Travel_Rarely,44,2,3,4,25291,11868,5934,1,7,9,40,4,0,2,2,2,0,1,3,3,4,3,9,10,5,4,0,1,intern,0,0
614,Yes,18,Male,Single,3,Marketing,Sales,Sales Representative,Travel_Frequently,69,3,1,2,8059,5255,0,0,5,9,40,2,0,3,4,1,0,1,3,2,2,4,1,0,0,0,0,0,agent_B,0,0
615,No,40,Male,Divorced,3,Other,Sales,Sales Executive,Non-Travel,58,1,3,3,11373,6634,0,1,28,9,40,4,1,3,2,2,0,2,2,3,1,3,3,20,1,0,0,1,intern,1,0
616,No,41,Female,Single,4,Other,Research & Development,Healthcare Representative,Non-Travel,62,2,2,2,2112,10987,0,0,2,37,40,2,1,3,2,2,1,3,3,1,3,1,2,10,8,7,0,7,agent_B,1,0
618,No,26,Male,Divorced,2,Medical,Sales,Sales Executive,Travel_Rarely,45,3,2,1,4267,6004,0,2,29,28,40,4,0,3,3,3,0,1,5,1,3,1,5,8,0,0,0,0,agent_B,0,0
620,No,35,Female,Single,3,Medical,Sales,Sales Executive,Travel_Rarely,80,3,2,2,6698,6367,0,0,1,9,40,1,1,3,2,1,1,3,3,1,3,4,1,5,5,4,0,3,agent_B,1,1
621,No,34,Male,Single,4,Life Sciences,Sales,Sales Executive,Travel_Rarely,74,4,2,2,19921,9566,0,0,21,4,40,4,1,3,1,1,0,4,3,4,4,4,1,10,10,7,5,7,intern,1,1
622,Yes,26,Male,Single,3,Technical Degree,Research & Development,Laboratory Technician,Travel_Rarely,66,1,1,3,23213,5808,2323,0,24,2,40,4,0,1,4,3,0,1,3,3,4,2,1,1,1,0,0,0,intern,0,0
623,No,37,Female,Single,3,Technical Degree,Research & Development,Manufacturing Director,Travel_Rarely,59,3,3,3,23848,7402,3515,0,1,3,40,4,0,4,2,2,0,1,3,2,4,4,4,12,6,5,1,2,intern,1,0
624,No,46,Female,Married,1,Medical,Research & Development,Healthcare Representative,Travel_Frequently,86,3,3,1,8984,7509,0,0,18,25,40,3,1,2,3,3,0,2,3,1,3,4,5,28,2,2,1,2,New_graduate_recruitment,0,0
625,No,41,Female,Married,5,Life Sciences,Sales,Manager,Travel_Rarely,91,3,4,3,5626,6728,0,1,2,36,40,1,1,3,3,3,1,3,2,2,1,2,7,22,18,16,11,8,intern,1,0
626,No,37,Male,Divorced,4,Medical,Sales,Sales Executive,Non-Travel,69,3,3,1,24666,11254,0,1,9,8,40,1,0,3,3,3,0,2,6,1,2,4,1,9,9,5,7,7,agent_C,1,0
630,No,52,Male,Divorced,2,Technical Degree,Research & Development,Research Scientist,Travel_Rarely,78,3,2,2,22087,7117,2135,2,6,20,40,2,0,3,2,3,0,2,3,4,1,2,3,18,10,9,6,9,intern,0,0
631,Yes,32,Male,Married,4,Other,Sales,Sales Executive,Non-Travel,60,4,2,2,23914,9555,0,0,11,10,40,4,1,3,2,2,0,4,2,4,3,4,8,6,4,2,1,2,direct_recruiting,1,1
632,No,24,Male,Married,3,Medical,Sales,Sales Representative,Travel_Frequently,38,3,1,1,5530,4377,0,2,24,17,40,4,1,3,2,2,1,4,3,4,4,3,0,3,2,2,2,1,agent_C,1,1
634,No,38,Female,Married,3,Medical,Research & Development,Healthcare Representative,Travel_Rarely,76,3,2,4,22174,6806,3403,1,10,0,40,3,1,3,1,1,1,4,4,3,3,3,3,18,1,0,0,0,intern,1,1
635,No,37,Female,Married,4,Life Sciences,Research & Development,Manufacturing Director,Travel_Rarely,65,3,2,2,15701,6997,2099,1,1,0,40,1,0,2,3,1,0,1,2,2,2,2,6,8,6,5,4,3,intern,0,0
638,No,49,Male,Divorced,4,Life Sciences,Research & Development,Research Director,Travel_Rarely,58,2,5,3,2125,8343,0,1,18,8,40,5,0,3,2,2,0,3,5,4,3,3,1,31,31,9,0,9,intern,1,0
639,No,24,Male,Married,3,Medical,Research & Development,Research Scientist,Travel_Rarely,89,4,1,1,21630,9380,0,2,23,0,40,4,1,3,3,3,0,3,3,2,4,2,1,6,6,5,1,4,intern,1,0
641,No,26,Male,Married,2,Marketing,Sales,Sales Executive,Travel_Rarely,66,3,2,4,7428,5049,2379,2,28,21,40,5,1,4,3,2,0,3,5,1,2,4,1,6,5,3,1,4,intern,0,0
643,No,24,Male,Married,2,Other,Research & Development,Laboratory Technician,Travel_Rarely,94,2,1,4,9100,6658,2442,1,17,35,40,4,1,3,2,2,1,4,2,4,2,4,1,1,1,0,0,0,intern,1,1
644,No,50,Male,Married,3,Medical,Human Resources,Manager,Travel_Frequently,99,3,5,1,7999,7135,0,1,3,0,40,1,0,3,2,3,0,3,2,1,2,3,1,32,32,5,10,7,intern,1,0
645,No,25,Male,Married,1,Medical,Sales,Sales Representative,Travel_Rarely,40,3,1,1,26376,4248,0,0,13,34,40,2,1,3,3,2,0,3,1,2,3,3,1,7,7,4,0,6,agent_A,0,0
647,Yes,24,Female,Married,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Frequently,55,3,1,2,14168,5021,0,1,7,25,40,3,1,3,2,1,0,4,4,1,3,4,1,6,6,3,1,2,agent_B,1,0
648,Yes,30,Male,Married,4,Life Sciences,Sales,Sales Representative,Travel_Frequently,74,2,1,3,14470,7436,0,1,12,10,40,2,1,4,2,1,0,3,2,2,1,3,1,1,1,0,0,0,intern,1,0
649,No,34,Male,Married,2,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,83,2,1,2,22794,9828,2948,1,1,54,40,2,1,3,3,3,1,4,3,2,4,4,1,6,6,5,1,3,intern,1,1
650,Yes,31,Male,Divorced,4,Medical,Sales,Sales Executive,Travel_Rarely,46,3,2,3,11512,10122,0,0,13,18,40,2,0,1,5,3,0,1,2,2,1,3,2,9,3,1,1,2,intern,0,0
652,No,35,Male,Single,2,Other,Research & Development,Laboratory Technician,Travel_Rarely,54,2,2,3,14004,7562,3591,0,25,23,40,5,1,3,2,2,0,3,3,1,4,4,4,9,3,2,0,2,intern,1,1
653,No,31,Male,Divorced,4,Medical,Sales,Sales Executive,Travel_Rarely,66,4,2,4,6219,7407,0,2,6,4,40,4,1,4,2,3,0,3,4,1,4,4,4,13,7,7,5,7,intern,1,0
655,No,27,Female,Divorced,4,Medical,Research & Development,Research Scientist,Travel_Rarely,66,2,1,3,5013,7123,0,2,6,33,40,3,1,2,1,4,1,4,5,1,3,3,0,6,5,3,0,3,direct_recruiting,1,1
656,No,37,Male,Married,3,Marketing,Sales,Sales Executive,Travel_Rarely,75,3,2,1,3010,9266,0,1,2,7,40,2,1,2,2,2,1,4,3,4,3,3,4,17,3,0,1,0,intern,1,1
657,No,20,Female,Single,3,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,83,2,1,2,11757,6365,1909,0,1,23,40,2,1,4,2,2,1,3,0,4,2,4,1,1,1,0,0,0,New_graduate_recruitment,1,1
659,No,42,Female,Married,4,Life Sciences,Research & Development,Healthcare Representative,Travel_Rarely,81,3,2,1,5718,8506,0,2,2,11,40,3,1,3,3,3,0,3,4,3,4,2,1,10,10,2,2,2,agent_A,1,0
661,No,43,Male,Divorced,4,Other,Research & Development,Research Director,Travel_Rarely,50,2,4,3,2671,8985,0,1,6,39,40,3,0,2,2,2,0,1,3,2,4,3,4,21,1,0,0,0,direct_recruiting,0,0
662,No,38,Female,Single,1,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,43,3,1,3,14561,5589,2654,0,1,2,40,1,0,2,2,3,0,1,3,3,1,4,3,8,0,0,0,0,intern,1,0
663,No,43,Male,Divorced,5,Medical,Research & Development,Laboratory Technician,Travel_Frequently,72,3,2,2,19627,9524,0,1,9,4,40,3,0,3,2,2,0,2,3,4,3,2,3,10,8,7,4,7,intern,0,0
664,No,48,Female,Married,4,Life Sciences,Research & Development,Manager,Travel_Rarely,40,2,4,1,17997,8363,0,1,1,0,40,0,0,1,3,3,0,1,3,4,1,1,7,21,3,2,0,2,intern,0,0
665,No,44,Female,Single,4,Life Sciences,Human Resources,Human Resources,Travel_Rarely,50,2,2,1,26894,7996,0,0,1,29,40,2,1,4,1,1,1,4,1,1,3,2,4,10,2,2,0,2,intern,1,1
666,No,34,Female,Divorced,3,Technical Degree,Sales,Sales Representative,Travel_Rarely,31,3,1,3,2912,5693,0,2,14,7,40,5,0,3,3,2,0,2,3,3,3,4,1,8,8,2,0,6,intern,0,0
667,No,27,Male,Divorced,1,Marketing,Sales,Sales Representative,Travel_Rarely,85,3,1,1,16346,5446,0,1,2,34,40,1,0,3,3,3,0,1,3,3,1,2,0,5,4,3,0,2,agent_A,0,0
669,No,21,Male,Single,1,Technical Degree,Sales,Sales Representative,Travel_Rarely,49,3,1,1,24444,5126,0,0,22,21,40,3,1,3,1,1,1,4,2,3,3,3,1,3,3,2,1,2,intern,1,1
671,No,44,Male,Married,4,Other,Research & Development,Manager,Travel_Rarely,35,3,5,2,9358,7777,1581,1,3,1,40,3,0,4,3,3,0,1,2,4,4,1,4,26,2,2,0,1,agent_A,0,0
675,No,22,Male,Married,1,Medical,Research & Development,Research Scientist,Travel_Rarely,69,3,1,4,12145,4203,2101,0,6,60,40,3,1,3,3,2,1,4,3,1,3,4,0,3,2,2,2,2,direct_recruiting,1,1
601,No,41,Female,Single,3,Life Sciences,Sales,Manufacturing Director,Travel_Rarely,39,3,4,2,20431,8572,2571,0,6,25,40,2,0,3,2,1,0,2,3,3,3,4,7,23,21,7,6,14,intern,1,0
679,No,32,Female,Married,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,92,3,2,2,18089,8363,0,1,9,14,40,2,1,2,3,3,0,2,2,1,4,4,1,6,6,4,0,5,intern,1,0
680,No,30,Female,Divorced,3,Medical,Research & Development,Research Scientist,Travel_Frequently,71,3,1,4,22653,8401,4200,1,3,5,40,2,1,3,2,1,0,3,2,3,3,3,1,1,1,0,0,0,intern,1,0
682,No,53,Female,Single,1,Medical,Sales,Sales Executive,Travel_Rarely,34,3,2,3,7507,3639,1728,0,1,4,40,2,1,4,2,2,1,4,2,4,1,4,7,18,14,7,8,10,agent_C,1,1
683,No,34,Male,Married,5,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,42,3,1,2,7660,9421,0,1,1,2,40,3,0,2,3,4,0,2,4,2,4,4,1,10,10,9,8,8,intern,0,0
684,Yes,45,Female,Married,4,Life Sciences,Sales,Sales Executive,Travel_Frequently,100,3,2,3,5630,4843,0,2,26,32,40,4,0,3,4,4,0,1,4,1,1,4,2,5,1,1,0,0,intern,0,0
686,No,26,Female,Married,3,Life Sciences,Research & Development,Laboratory Technician,Travel_Rarely,71,3,1,2,17759,5559,0,1,6,27,40,4,1,3,2,1,1,4,2,3,4,3,1,3,3,2,0,2,intern,1,1
689,No,37,Male,Married,3,Other,Research & Development,Manufacturing Director,Travel_Rarely,36,3,3,3,9606,2927,1390,1,3,13,40,3,0,3,2,2,1,2,2,3,3,3,1,10,10,7,7,8,New_graduate_recruitment,0,0
690,No,29,Female,Married,2,Medical,Sales,Sales Executive,Travel_Rarely,62,3,2,3,3487,7753,0,1,3,15,40,2,0,2,4,2,0,1,5,2,3,1,1,6,6,0,1,2,intern,0,0
691,No,35,Male,Single,4,Life Sciences,Research & Development,Research Scientist,Travel_Rarely,82,1,2,2,19368,7281,2184,0,6,35,40,3,1,3,2,1,1,4,3,2,4,2,1,17,17,11,11,8,intern,1,1
692,No,33,Male,Divorced,3,Life Sciences,Research & Development,Healthcare Representative,Travel_Frequently,30,3,2,3,5335,1666,791,1,6,4,40,4,0,1,4,3,0,1,2,3,4,3,3,15,13,11,4,7,agent_B,0,0
698,No,54,Male,Married,4,Medical,Human Resources,Human Resources,Travel_Rarely,88,3,3,3,6729,8265,0,1,19,2,40,4,1,4,2,2,0,4,1,3,2,3,2,16,9,7,7,1,intern,1,1
699,No,36,Male,Divorced,2,Medical,Research & Development,Manufacturing Director,Travel_Rarely,48,2,2,1,13934,3913,0,1,9,6,40,2,0,3,1,1,1,2,2,2,2,3,2,13,3,2,0,2,intern,1,0
700,No,27,Male,Single,4,Medical,Research & Development,Research Scientist,Travel_Rarely,54,2,1,1,15174,7795,0,0,3,12,40,2,1,3,1,1,1,4,0,1,4,4,0,5,4,2,1,1,agent_B,1,1
701,Yes,20,Male,Single,1,Medical,Research & Development,Research Scientist,Travel_Rarely,32,3,1,1,26999,5263,0,0,10,27,40,2,0,3,3,3,0,1,5,4,3,4,1,1,1,0,1,1,agent_C,0,0
702,Yes,33,Male,Single,3,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,70,3,1,1,3164,7500,0,0,3,16,40,0,0,3,3,4,0,2,3,1,1,1,1,10,10,8,9,7,agent_C,1,0
704,No,35,Male,Married,3,Life Sciences,Research & Development,Laboratory Technician,Non-Travel,41,2,1,2,16900,5943,1782,2,3,2,40,3,0,3,3,2,0,2,3,3,3,3,1,1,1,0,0,0,agent_B,0,0
705,No,23,Male,Married,3,Medical,Research & Development,Research Scientist,Travel_Rarely,58,4,1,3,8544,4527,2150,1,4,2,40,1,0,4,4,2,0,1,3,1,1,1,2,5,3,2,0,2,intern,0,0
707,No,25,Male,Married,3,Life Sciences,Sales,Sales Executive,Travel_Rarely,57,4,2,4,15678,5934,2967,1,8,1,40,3,1,3,3,2,0,3,4,4,2,3,0,4,3,2,1,2,intern,1,0
709,No,38,Female,Single,4,Marketing,Sales,Sales Executive,Travel_Rarely,46,2,2,3,7791,6899,0,0,7,2,40,2,1,3,2,1,0,3,2,4,4,1,0,8,7,7,0,5,agent_B,1,0
710,No,29,Male,Divorced,4,Life Sciences,Research & Development,Research Scientist,Travel_Frequently,76,1,1,3,18959,7689,3652,1,1,8,40,3,1,3,2,2,1,4,5,2,4,4,1,10,10,7,2,8,intern,1,0
712,No,48,Male,Married,1,Marketing,Sales,Sales Executive,Travel_Rarely,56,4,2,2,18597,6361,0,0,2,5,40,2,1,3,1,1,0,4,3,2,2,4,3,12,2,2,2,2,agent_B,1,1
